latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-6.00919,-45.76616,304.91,2.53,1.53,2025-06-09,0001,T,62,6.1NRT,292.57,22.49,N
-5.63235,-43.72634,307.99,1.71,1.28,2025-06-09,0001,T,73,6.1NRT,294.62,15.43,N
-4.49192,-43.77808,319.97,1.66,1.27,2025-06-09,0001,T,99,6.1NRT,292.25,34.87,N
-3.35113,-39.12762,304.48,1,1,2025-06-09,0001,T,60,6.1NRT,293.67,3.73,N
-4.29827,-48.07436,307.48,3.66,1.79,2025-06-09,0001,T,72,6.1NRT,284.72,52.67,N
-4.30367,-48.07907,311.58,3.66,1.79,2025-06-09,0001,T,83,6.1NRT,285,68.83,N
-3.09176,-40.06398,302.78,1.01,1.01,2025-06-09,0001,T,41,6.1NRT,292.56,3.46,N
1.49526,127.63184,324.96,1,1,2025-06-09,0052,T,81,6.1NRT,299.58,19.98,D
1.49399,127.64062,311.91,1,1,2025-06-09,0052,T,65,6.1NRT,295.96,7.97,D
1.44955,125.19844,311.85,1.22,1.1,2025-06-09,0052,T,0,6.1NRT,294.91,8,D
0.50758,127.89677,315.44,1,1,2025-06-09,0052,T,71,6.1NRT,297.86,8.57,D
-2.57452,121.36477,309.41,2,1.38,2025-06-09,0052,T,51,6.1NRT,291.02,14.92,D
-2.57694,121.38161,337.11,2,1.38,2025-06-09,0052,T,90,6.1NRT,292.95,96.47,D
-2.58118,121.37495,337.46,2,1.38,2025-06-09,0052,T,90,6.1NRT,292.69,99.19,D
-2.58368,121.39152,311.74,1.99,1.38,2025-06-09,0052,T,68,6.1NRT,291.54,19.85,D
-3.87497,122.40598,316.23,1.58,1.24,2025-06-09,0052,T,73,6.1NRT,297.3,17.51,D
-8.26948,123.50372,325.58,1.17,1.07,2025-06-09,0054,T,82,6.1NRT,297.01,23.55,D
-8.27886,123.50165,316.5,1.17,1.07,2025-06-09,0054,T,73,6.1NRT,293.7,13.19,D
-8.28034,123.51154,322.67,1.16,1.07,2025-06-09,0054,T,79,6.1NRT,295.09,20.5,D
44.35071,142.4554,312.77,1.22,1.1,2025-06-09,0039,T,20,6.1NRT,298.23,10.05,D
44.01523,143.76805,305.66,1.42,1.18,2025-06-09,0039,T,57,6.1NRT,294.07,7.7,D
44.17366,142.39723,309.8,1.22,1.1,2025-06-09,0039,T,64,6.1NRT,297.15,8.17,D
43.82082,144.1156,313.72,1.49,1.21,2025-06-09,0039,T,74,6.1NRT,300.87,14.1,D
43.84568,142.77231,305.54,1.29,1.13,2025-06-09,0039,T,43,6.1NRT,294.53,7.12,D
43.52636,142.18037,310.06,1.23,1.1,2025-06-09,0039,T,36,6.1NRT,298.54,9.19,D
43.51423,142.1917,310.14,1.23,1.1,2025-06-09,0039,T,24,6.1NRT,297.82,8.67,D
43.34262,142.38699,314.18,1.26,1.12,2025-06-09,0039,T,44,6.1NRT,299.63,10.51,D
43.16311,142.57512,307.03,1.3,1.13,2025-06-09,0039,T,61,6.1NRT,296.18,9,D
42.77806,142.00533,302.15,1.24,1.11,2025-06-09,0039,T,38,6.1NRT,291.53,3.98,D
42.76846,142.00227,301.69,1.24,1.11,2025-06-09,0039,T,32,6.1NRT,291.01,3.56,D
-30.62732,117.12474,303.12,1.28,1.12,2025-06-09,0100,T,55,6.1NRT,284.38,9.62,D
64.6451,136.56367,305.18,1.86,1.33,2025-06-09,0035,T,61,6.1NRT,293.2,11.03,D
64.64294,136.60149,313.9,1.85,1.33,2025-06-09,0035,T,74,6.1NRT,292.74,26.17,D
38.91609,141.34042,304.91,1.36,1.15,2025-06-09,0039,T,42,6.1NRT,291.14,4.76,D
37.33427,139.91367,304.18,1.23,1.1,2025-06-09,0041,T,42,6.1NRT,291.57,6.23,D
36.93856,140.74036,306.16,1.38,1.16,2025-06-09,0041,T,44,6.1NRT,290.35,8.15,D
36.93581,140.75531,306.16,1.38,1.16,2025-06-09,0041,T,36,6.1NRT,290.22,7.28,D
-15.89226,33.03227,305.22,1.01,1,2025-06-09,0022,A,63,6.1NRT,291.19,7.08,N
-12.64963,131.14307,304.23,2.11,1.41,2025-06-09,0054,T,53,6.1NRT,289.4,10.56,D
-12.65197,131.16229,312.12,2.12,1.41,2025-06-09,0054,T,70,6.1NRT,289.14,26.58,D
-12.84252,130.78308,319.58,1.99,1.38,2025-06-09,0054,T,78,6.1NRT,291.69,40.2,D
-12.84466,130.80099,314.97,2,1.38,2025-06-09,0054,T,73,6.1NRT,290.73,28.32,D
-12.90367,131.19101,303.54,2.15,1.42,2025-06-09,0054,T,46,6.1NRT,285.29,10.98,D
